Subject,trial,Training,easy_trial,RT_Easy,APA_Easy,medium_trial,RT_medium,APA_medium,diff_trial,RT_diff,APA_diff
7,17,no training,2L,0.16,0.48,4R,0.06,0.5,5R,0.15,0.48
7,18,no training,1R,0.21,0.46,4L,0.15,0.49,5L,0.15,0.51
7,19,no training,2R,0.03,0.52,3L,0.21,0.48,6R,0.09,0.53
7,20,no training,1L,0.15,0.48,3R,0.05,0.51,6L,0.11,0.58
9,1,no training,2R,0.99,0.43,3L,2.26,0.42,6R,2.79,0.75
9,2,no training,1R,0.25,0.57,4L,2.51,0.36,5L,3.15,0.35
9,3,no training,2L,0.21,1.01,4R,2.33,0.18,5R,2.03,0.4
9,4,no training,1R,0.38,0.51,3R,1.87,0.49,6L,3.2,0.48
9,5,no training,1L,0.2,0.46,4R,0.78,1.73,6R,3.01,0.57
9,6,no training,2R,0.5,0.5,3R,1.72,0.49,6L,2.09,1.04
9,7,no training,2L,0.11,1.15,4R,1.95,0.32,5R,2.2,0.45
9,8,no training,1R,0.33,0.43,4L,1.86,0.48,5L,0.6,2.01
9,9,no training,2R,0.14,0.78,3L,1.43,1.04,6R,3.16,0.51
9,10,no training,1L,0.27,0.74,4L,1.8,0.54,5R,0.3,2.36
9,11,no training,2L,0.38,0.44,3L,1.79,0.39,6R,2.47,0.72
9,12,no training,1L,0.33,0.38,4L,1.85,0.83,5L,2.31,1.36
9,13,no training,2L,0.27,0.57,4R,1.7,0.95,5R,0.56,2.71
9,14,no training,1R,0.42,0.37,3R,0.74,2.1,6L,3.22,0.48
9,15,no training,2R,0.46,0.37,3L,0.17,0.4,5L,2.5,0.56
9,16,no training,1L,0.3,0.41,3R,0.97,1.21,6L,2.21,0.4
9,17,no training,2L,0.27,0.59,4R,1.95,0.37,5R,0.78,2.01
9,18,no training,1R,0.23,0.57,4L,1.96,0.87,5L,2.49,0.48
9,19,no training,2R,0.52,0.42,3L,0.5,2.2,6R,2.85,0.57
9,20,no training,1L,0.31,0.36,3R,0.66,1.32,6L,2.53,0.63
12,1,no training,2R,0.44,1.94,3L,1.75,1.05,6R,0.48,1.56
12,2,no training,1R,0.58,0.66,4L,0.83,2.93,5L,0.98,1.04
12,3,no training,2L,0.42,1.14,4R,0.76,2.68,5R,0.42,0.5
12,4,no training,1R,0.66,0.53,3R,1.74,0.66,6L,0.7,0.65
12,5,no training,1L,0.64,0.19,4R,1.04,1.61,6R,0.54,0.51
12,6,no training,2R,0.43,0.73,3R,0.7,0.6,6L,0.43,1
12,7,no training,2L,0.51,0.14,4R,0.91,1.83,5R,0.68,0.19
12,8,no training,1R,0.33,0.53,4L,0.68,0.6,5L,0.71,0.32
12,9,no training,2R,0.4,0.6,3L,0.48,1.09,6R,0.27,0.82
12,10,no training,1L,0.32,0.53,4L,0.46,1.14,5R,0.64,0.43
12,11,no training,2L,0.48,0.5,3L,0.66,0.89,6R,0.26,0.75
