Subject,RT_Easy,APA_Easy,RT_medium,APA_medium,RT_diff,APA_diff,NMT_easy,NMT_medium,NMT_difficult,Training
10,0.02,0.5,0.11,0.59,0.54,0.295,0.7084,0.6793,0.708333333,Walking
10,0.22,0.49,0.76,0.31,0.48,0.275,0.6835,0.649475,0.61968,Walking
10,0.05,0.45,0.51,0.5,0.29,0.235,0.6543,0.65975,0.676,Walking
10,0.07,0.63,0.38,0.45,0.59,0.19,0.68855,0.6536,0.655,Walking
10,0.14,0.46,0.03,0.52,0.43,0.245,0.6671,0.688666667,0.651666667,Walking
11,0.87,0.57,0.87,0.21,0.41,0.41,0.63505,0.662433333,0.674816667,Walking
11,0.75,0.78,0.62,0.93,0.34,0.6,0.6669,0.74375,0.67502,Walking
11,0.55,0.43,0.41,0.69,0.47,0.42,0.5527,0.733,0.84,Walking
11,0.36,0.44,0.17,0.97,0.01,0.53,0.7015,0.644166667,0.666666667,Walking
11,0.15,0.42,0.76,0.43,0.26,0.22,0.7685,0.714525,0.66775,Walking
11,0.48,0.52,0.54,0.66,0.34,0.48,0.7015,0.654033333,0.608333333,Walking
11,0.04,0.57,0.4,0.54,0.31,0.51,0.5219,0.814875,0.64,Walking
11,0.16,0.51,0.49,0.68,0.02,0.43,0.7006,0.707,0.7,Walking
11,0.15,0.75,0.5,0.44,0.54,0.34,0.54835,0.622033333,0.658333333,Walking
11,0.2,0.5,0.46,0.51,0.34,0.59,0.6103,0.67425,0.64,Walking
11,0.17,0.7,0.17,0.52,0.49,0.22,0.531,0.627433333,0.785,Walking
11,0.21,0.55,0.46,0.47,0.46,0.42,0.666,0.629,0.66,Walking
11,0.09,0.53,0.43,0.45,0.26,0.46,0.551,0.872,0.6,Walking
11,0.18,0.58,0.41,0.52,0.47,0.5,0.668,0.64,0.666666667,Walking
11,0.16,0.75,0.5,0.52,0.2,0.49,0.6157,0.611333333,0.60028,Walking
11,0.16,0.6,0.31,0.55,0.27,0.52,0.6671,0.6,0.666666667,Walking
